06-Apr-23 06:35:09 - DEBUG - 10
06-Apr-23 06:35:09 - DEBUG - 20
06-Apr-23 06:35:21 - DEBUG - 
06-Apr-23 06:35:21 - DEBUG - 
06-Apr-23 06:36:13 - DEBUG - <class 'str'>
06-Apr-23 06:36:20 - DEBUG - <class 'str'>
06-Apr-23 06:36:26 - DEBUG - <class 'str'>
06-Apr-23 06:40:47 - DEBUG - please check xy params
11-Apr-23 22:09:33 - DEBUG - Loaded backend TkAgg version 8.6.
11-Apr-23 22:09:33 - DEBUG - STREAM b'IHDR' 16 13
11-Apr-23 22:09:33 - DEBUG - STREAM b'sBIT' 41 4
11-Apr-23 22:09:33 - DEBUG - b'sBIT' 41 4 (unknown)
11-Apr-23 22:09:33 - DEBUG - STREAM b'pHYs' 57 9
11-Apr-23 22:09:33 - DEBUG - STREAM b'IDAT' 78 1189
11-Apr-23 22:09:33 - DEBUG - STREAM b'IHDR' 16 13
11-Apr-23 22:09:33 - DEBUG - STREAM b'sBIT' 41 4
11-Apr-23 22:09:33 - DEBUG - b'sBIT' 41 4 (unknown)
11-Apr-23 22:09:33 - DEBUG - STREAM b'pHYs' 57 9
11-Apr-23 22:09:33 - DEBUG - STREAM b'IDAT' 78 2994
11-Apr-23 22:09:33 - DEBUG - STREAM b'IHDR' 16 13
11-Apr-23 22:09:33 - DEBUG - STREAM b'sBIT' 41 4
11-Apr-23 22:09:33 - DEBUG - b'sBIT' 41 4 (unknown)
11-Apr-23 22:09:33 - DEBUG - STREAM b'pHYs' 57 9
11-Apr-23 22:09:33 - DEBUG - STREAM b'IDAT' 78 374
11-Apr-23 22:09:33 - DEBUG - STREAM b'IHDR' 16 13
11-Apr-23 22:09:33 - DEBUG - STREAM b'sBIT' 41 4
11-Apr-23 22:09:33 - DEBUG - b'sBIT' 41 4 (unknown)
11-Apr-23 22:09:33 - DEBUG - STREAM b'pHYs' 57 9
11-Apr-23 22:09:33 - DEBUG - STREAM b'IDAT' 78 286
11-Apr-23 22:09:33 - DEBUG - STREAM b'IHDR' 16 13
11-Apr-23 22:09:33 - DEBUG - STREAM b'sBIT' 41 4
11-Apr-23 22:09:33 - DEBUG - b'sBIT' 41 4 (unknown)
11-Apr-23 22:09:33 - DEBUG - STREAM b'pHYs' 57 9
11-Apr-23 22:09:33 - DEBUG - STREAM b'IDAT' 78 263
11-Apr-23 22:09:33 - DEBUG - STREAM b'IHDR' 16 13
11-Apr-23 22:09:33 - DEBUG - STREAM b'sBIT' 41 4
11-Apr-23 22:09:33 - DEBUG - b'sBIT' 41 4 (unknown)
11-Apr-23 22:09:33 - DEBUG - STREAM b'pHYs' 57 9
11-Apr-23 22:09:33 - DEBUG - STREAM b'IDAT' 78 387
11-Apr-23 22:09:33 - DEBUG - STREAM b'IHDR' 16 13
11-Apr-23 22:09:33 - DEBUG - STREAM b'sBIT' 41 4
11-Apr-23 22:09:33 - DEBUG - b'sBIT' 41 4 (unknown)
11-Apr-23 22:09:33 - DEBUG - STREAM b'pHYs' 57 9
11-Apr-23 22:09:33 - DEBUG - STREAM b'IDAT' 78 436
11-Apr-23 22:09:33 - DEBUG - STREAM b'IHDR' 16 13
11-Apr-23 22:09:33 - DEBUG - STREAM b'sBIT' 41 4
11-Apr-23 22:09:33 - DEBUG - b'sBIT' 41 4 (unknown)
11-Apr-23 22:09:33 - DEBUG - STREAM b'pHYs' 57 9
11-Apr-23 22:09:33 - DEBUG - STREAM b'IDAT' 78 351
11-Apr-23 22:09:33 - DEBUG - STREAM b'IHDR' 16 13
11-Apr-23 22:09:33 - DEBUG - STREAM b'sBIT' 41 4
11-Apr-23 22:09:33 - DEBUG - b'sBIT' 41 4 (unknown)
11-Apr-23 22:09:33 - DEBUG - STREAM b'pHYs' 57 9
11-Apr-23 22:09:33 - DEBUG - STREAM b'IDAT' 78 364
11-Apr-23 22:09:33 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
11-Apr-23 22:09:33 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ASUS\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
